rate,fico
14.31,682
15.8,672
5.65,717
9.86,682
9.98,732
4.65,762
8.64,747
15.39,722
17.25,707
9.91,682
12.55,677
6.91,712
11.4,672
6.91,717
14.02,672
10.74,722
7.87,707
2.74,762
11.02,677
11.4,697
8.87,677
4.65,722
19.7,682
7.34,712
8.87,752
14.02,697
15.24,677
4.26,807
6.51,727
8.64,722
18.24,687
20.38,662
15.5,677
10.24,697
5.95,732
7.89,797
16.66,672
8.11,687
14.52,667
12.71,682
11.02,672
6.0,702
5.65,727
15.24,722
14.24,697
3.37,767
2.78,767
6.74,752
19.53,662
5.65,767
9.74,742
12.06,672
14.02,677
2.74,742
10.84,677
13.64,747
7.4,722
5.65,757
10.24,722
13.52,672
2.54,767
17.24,662
11.36,667
18.49,662
12.74,677
8.74,757
10.73,717
2.74,772
8.87,717
6.51,707
4.63,762
15.97,682
14.74,717
8.87,687
14.74,687
15.24,662
8.74,722
3.51,757
16.47,677
10.74,697
5.82,752
7.49,702
17.25,692
9.62,692
7.86,702
3.37,792
7.49,742
8.87,712
11.57,657
4.65,752
6.91,712
4.26,767
6.51,707
4.65,717
14.52,672
10.42,747
4.65,727
6.91,757
8.23,747
9.86,717
3.37,762
8.33,717
17.24,662
8.87,712
13.52,672
10.84,697
14.31,672
11.08,692
8.58,722
9.86,707
4.65,712
10.42,677
8.87,697
14.33,727
3.89,757
11.08,722
9.86,697
3.37,752
8.46,707
16.74,712
19.22,672
15.39,677
4.63,732
11.4,707
12.06,667
15.14,677
4.65,772
4.65,732
10.84,702
4.65,742
11.02,697
9.86,712
6.75,747
14.52,667
9.44,737
8.87,697
8.87,697
15.24,707
15.0,697
11.02,712
2.78,757
11.76,697
11.21,682
10.6,677
11.4,692
13.07,687
7.89,697
10.92,672
9.86,777
9.86,687
7.49,702
7.89,707
7.4,747
8.24,727
14.52,672
11.08,677
13.24,712
4.66,732
4.65,752
5.65,717
14.24,672
10.84,712
8.87,717
12.7,702
14.52,712
4.15,772
12.4,737
6.51,727
9.86,697
12.56,727
12.06,677
7.5,757
12.71,662
12.06,687
11.57,647
2.78,762
4.65,732
8.87,687
15.97,682
12.74,677
17.25,697
10.24,707
10.74,677
7.34,732
2.74,767
10.84,682
11.02,677
5.65,707
14.02,667
12.74,692
6.91,717
9.86,697
12.06,667
6.91,722
8.87,692
10.24,702
11.02,672
16.44,667
4.65,707
18.24,702
8.87,697
15.0,662
3.37,757
8.87,717
10.84,692
10.74,707
18.73,662
15.8,692
4.65,727
8.46,702
12.06,677
7.89,777
12.55,682
4.37,752
9.44,687
5.34,762
4.75,767
9.17,707
3.37,762
4.65,727
4.65,812
15.78,687
8.87,717
2.54,752
13.04,687
15.24,702
8.87,702
11.34,662
19.2,667
11.45,647
15.5,682
8.87,697
12.37,672
2.17,802
4.37,737
14.52,687
4.24,747
20.51,667
4.65,717
6.95,802
12.37,697
12.33,692
11.4,712
7.34,767
6.66,712
15.24,672
6.51,787
2.75,697
11.08,697
8.24,707
2.78,802
3.37,732
15.3,702
5.65,732
2.78,752
14.02,707
12.74,677
6.91,712
4.49,777
8.01,732
15.8,662
9.86,722
11.36,732
5.65,732
5.65,787
12.56,697
2.54,772
9.44,707
3.67,782
12.55,672
8.87,687
9.91,757
9.43,692
3.51,762
10.42,672
10.84,702
7.49,707
13.04,662
2.78,782
10.42,667
2.78,762
8.87,697
13.04,667
19.22,662
9.74,727
10.84,677
9.86,697
6.07,757
10.84,687
17.24,687
7.37,752
7.89,707
3.37,757
5.65,742
7.89,722
2.17,752
12.55,672
10.84,702
11.08,692
4.65,722
13.04,662
13.2,682
6.37,732
8.87,722
2.54,737
7.86,682
9.81,737
4.37,787
10.23,702
11.88,647
5.65,722
12.06,682
7.12,752
15.24,677
18.42,677
9.86,727
4.15,782
4.37,737
9.99,662
4.65,722
11.25,717
3.67,737
7.0,762
4.65,727
4.41,737
15.8,687
14.33,662
4.04,722
8.87,692
11.66,677
10.62,672
12.33,787
8.87,672
4.24,717
8.24,767
5.65,732
7.89,692
13.46,662
6.38,747
4.04,767
9.86,717
4.26,767
7.74,702
4.63,727
